,Treasury Shares Number,Preferred Shares Number,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Defined Pension Benefit,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investments In Other Ventures Under Equity Method,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Prepaid Assets,Inventory,Inventories Adjustments Allowances,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2023-12-31,0.0,822886700.0,5969782550.0,5969782550.0,12685944000000.0,330372446000000.0,361076963000000.0,120217105000000.0,330491913000000.0,4723289000000.0,353114308000000.0,119467000000.0,353771393000000.0,363677865000000.0,10444090000000.0,353233775000000.0,,,346652238000000.0,4403893000000.0,897514000000.0,778047000000.0,119467000000.0,92228115000000.0,16508663000000.0,2802356000000.0,456557000000.0,5488283000000.0,620549000000.0,4262468000000.0,3724850000000.0,537618000000.0,2878450000000.0,75719452000000.0,2308472000000.0,8423476000000.0,998439000000.0,7425037000000.0,6524876000000.0,30002658000000.0,15324119000000.0,3358715000000.0,11319824000000.0,455905980000000.0,259969423000000.0,13390764000000.0,4905219000000.0,10211797000000.0,8912691000000.0,7481297000000.0,1431394000000.0,11767444000000.0,,11767444000000.0,,22741862000000.0,16284243000000.0,6457619000000.0,187256262000000.0,-285932126000000.0,473188388000000.0,46720328000000.0,14058654000000.0,328561492000000.0,73689951000000.0,10157963000000.0,0.0,195936557000000.0,5038838000000.0,217864000000.0,3366130000000.0,51625874000000.0,-7396152000000.0,17297425000000.0,26501664000000.0,15222937000000.0,6633248000000.0,36647393000000.0,-355456000000.0,37002849000000.0,92407210000000.0,23326317000000.0,69080893000000.0,69080893000000.0,
2022-12-31,0.0,822886700.0,5969782550.0,5969782550.0,10333242000000.0,324848921000000.0,350999072000000.0,140125729000000.0,324968388000000.0,4400845000000.0,345066675000000.0,119467000000.0,345756081000000.0,354749604000000.0,9563462000000.0,345186142000000.0,,,337946407000000.0,4403893000000.0,897514000000.0,778047000000.0,119467000000.0,93674903000000.0,15330051000000.0,1171761000000.0,268370000000.0,2753305000000.0,5111332000000.0,4096765000000.0,3526826000000.0,569939000000.0,1928518000000.0,78344852000000.0,1951354000000.0,6236477000000.0,874019000000.0,5362458000000.0,5844907000000.0,32487449000000.0,17592366000000.0,4250397000000.0,10644686000000.0,448424507000000.0,229953926000000.0,6012671000000.0,5851972000000.0,5101318000000.0,12802480000000.0,11397012000000.0,1405468000000.0,10893869000000.0,,10893869000000.0,,20217754000000.0,14203332000000.0,6014422000000.0,168045388000000.0,-259549670000000.0,427595058000000.0,33607564000000.0,13248490000000.0,303000627000000.0,67713808000000.0,10024569000000.0,0.0,218470581000000.0,6316834000000.0,,2867823000000.0,52187866000000.0,-4319092000000.0,18625019000000.0,21612965000000.0,16268974000000.0,6149209000000.0,35721563000000.0,-312221000000.0,36033784000000.0,115227286000000.0,65546576000000.0,49680710000000.0,49680710000000.0,
2021-12-31,0.0,822886700.0,5969782550.0,5969782550.0,18392149000000.0,275881986000000.0,310833821000000.0,130046052000000.0,276001453000000.0,3676558000000.0,296118230000000.0,119467000000.0,296747429000000.0,304899931000000.0,8662234000000.0,296237697000000.0,,,293064763000000.0,4403893000000.0,897514000000.0,778047000000.0,119467000000.0,121721227000000.0,33604094000000.0,1267183000000.0,465884000000.0,2991440000000.0,23198205000000.0,3374388000000.0,2864656000000.0,509732000000.0,2306994000000.0,88117133000000.0,1492239000000.0,15017761000000.0,811902000000.0,14205859000000.0,5372872000000.0,35787366000000.0,15584866000000.0,6749149000000.0,13453351000000.0,426621158000000.0,208457973000000.0,5571099000000.0,2809590000000.0,4261214000000.0,15491183000000.0,13965839000000.0,1525344000000.0,8932251000000.0,,8932251000000.0,,20236244000000.0,14391985000000.0,5844259000000.0,149928539000000.0,-227543455000000.0,377471994000000.0,18009324000000.0,11958070000000.0,274909571000000.0,62651459000000.0,9943570000000.0,0.0,218163185000000.0,5081665000000.0,,2336252000000.0,41384404000000.0,-1892979000000.0,14445566000000.0,13967331000000.0,14864486000000.0,4497257000000.0,40713415000000.0,-310880000000.0,41024295000000.0,124150192000000.0,85118777000000.0,39031415000000.0,39031415000000.0,
2020-12-31,0.0,822886700.0,5969782550.0,5969782550.0,20217381000000.0,249082362000000.0,285057748000000.0,122611228000000.0,249201829000000.0,2710497000000.0,267550864000000.0,119467000000.0,268618468000000.0,275948016000000.0,8277685000000.0,267670331000000.0,26726000000.0,,271068211000000.0,4403893000000.0,897514000000.0,778047000000.0,119467000000.0,102287702000000.0,26683351000000.0,1725857000000.0,464458000000.0,1682910000000.0,18810845000000.0,2947853000000.0,1999716000000.0,948137000000.0,1051428000000.0,75604351000000.0,1127719000000.0,17269528000000.0,710781000000.0,16558747000000.0,4349563000000.0,26068516000000.0,11899022000000.0,4430272000000.0,9739222000000.0,378235718000000.0,180020139000000.0,4626326000000.0,1355502000000.0,4275000000000.0,13778185000000.0,12575216000000.0,1202969000000.0,8076779000000.0,185491000000.0,8076779000000.0,7891288000000.0,18468502000000.0,12794860000000.0,5673642000000.0,128952892000000.0,-199653421000000.0,328606313000000.0,20175917000000.0,10496584000000.0,233056501000000.0,55026369000000.0,9850942000000.0,0.0,198215579000000.0,3754462000000.0,929432000000.0,2266100000000.0,32043145000000.0,-1324492000000.0,10758071000000.0,12144887000000.0,10464679000000.0,3604539000000.0,30965058000000.0,-318731000000.0,31283789000000.0,124652843000000.0,95270265000000.0,29382578000000.0,29382578000000.0,
2019-12-31,,,,,,,,,,,,,,,,,60429000000.0,2573530000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234739000000.0,,7356873000000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,26885999000000.0
